Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name
T. Tsingaras,Theocharis Tsingaras,70,79,3400000,"CDM,CM",CDM,Greece,21,175,70,1830,394,Toulouse Football Club
P. Mpoku,Paul-José Mpoku,70,70,1500000,"CAM,RW,RM",RM,Congo DR,30,180,79,1918,400,İttifak Holding Konyaspor
C. Arboleda,Carlos Arboleda,70,70,350000,"RB,RM",RB,Colombia,36,168,59,1815,384,La Equidad
D. Musto,Damián Musto,70,70,450000,"CDM,CM",CDM,Argentina,35,183,80,1696,354,FC Cartagena
S. Mmaee,Samy Mmaee,70,74,2000000,CB,CB,Morocco,25,181,83,1537,343,Ferencvárosi TC
D. Warmerdam,Django Warmerdam,70,71,1700000,LWB,LWB,Netherlands,26,180,66,1936,407,FC Utrecht
T. Handwerker,Tim Handwerker,70,74,2100000,LB,LWB,Germany,24,182,74,1822,392,1. FC Nürnberg
S. Pierotti,Santiago Pierotti,70,77,3200000,"RM,CM",CAM,Argentina,21,189,83,1887,406,Club Atlético Colón
Eduardo Quaresma,Eduardo Filipe Quaresma,70,82,3600000,CB,CB,Portugal,20,184,76,1516,332,TSG Hoffenheim
F. Brown Forbes,Felicio Brown Forbes,70,70,1600000,ST,ST,Costa Rica,30,188,82,1778,393,Wuhan FC
W. Montoya,Walter Montoya,70,70,1600000,"RM,CM",RM,Argentina,28,173,72,1873,402,Rosario Central
J. Portillo,Juan Portillo,70,78,3400000,"CDM,CB,CM",CB,Argentina,22,182,75,1871,409,Unión de Santa Fe
Z. Bytyqi,Zymer Bytyqi,70,71,1900000,"LM,RM,LW",LM,Kosovo,25,176,70,1829,387,İttifak Holding Konyaspor
F. Montero,Fredy Montero,70,70,775000,"ST,CF,CAM",ST,Colombia,34,175,74,1844,372,Seattle Sounders FC
A. Rosi,Aleandro Rosi,70,70,500000,"RB,CB",RB,Italy,35,180,80,1861,400,Perugia
Serginho,Sérgio Antônio Soler Oliveira Jr,70,70,1600000,"CM,RM,ST",CAM,Brazil,28,189,85,1909,407,Changchun Yatai FC
J. Léa Siliki,James Léa Siliki,70,73,2100000,CM,CM,Cameroon,26,183,73,1975,410,Estoril Praia
M. Jedlička,Martin Jedlička,70,74,1800000,GK,GK,Czech Republic,24,187,83,1048,376,FC Viktoria Plzeň
M. Ibáñez,Matías Ibáñez,70,70,180000,GK,GK,Argentina,35,180,75,1114,381,Club Atlético Colón
Jonaldo Monteiro,Jonaldo Kauã Monteiro Moura,70,70,1700000,"LB,LWB,LM",LB,Brazil,22,179,74,1836,387,Fortaleza
H. Wahl,Hauke Wahl,70,70,1400000,CB,CB,Germany,28,189,85,1585,351,Holstein Kiel
An Byong Jun,Byong Jun An,70,70,1300000,ST,ST,Korea DPR,32,183,75,1657,355,Suwon Samsung Bluewings
G. Bergessio,Gonzalo Bergessio,70,70,550000,ST,ST,Argentina,37,179,79,1694,345,Platense
A. Sampsted,Alfons Sampsted,70,76,2400000,RB,RB,Iceland,24,180,72,1788,390,FK Bodø/Glimt
D. McCarty,Dax McCarty,70,70,450000,CDM,CDM,United States,35,175,68,1817,370,Nashville SC
F. Girotti,Federico Girotti,70,77,3200000,ST,ST,Argentina,23,190,84,1723,369,Club Atlético Talleres
F. Mayembo,Fernand Mayembo,70,74,2000000,CB,CB,Congo,26,184,86,1501,332,AC Ajaccio
D. Diekmeier,Dennis Diekmeier,70,70,1100000,RB,RB,Germany,32,188,79,1736,379,SV Sandhausen
G. Togni,Gastón Togni,70,71,2000000,"LM,LWB,LW",LM,Argentina,24,180,76,1909,412,Defensa y Justicia
Nuno da Costa,Nuno Miguel da Costa Jóia,70,70,1300000,ST,ST,Cape Verde Islands,31,182,70,1757,370,AJ Auxerre
J. Yueill,Jackson Yueill,70,74,2000000,"CDM,CB,CM",CM,United States,25,178,74,1879,392,San Jose Earthquakes
I. González,Ignacio González,70,70,800000,GK,GK,Chile,32,187,84,1142,387,CD Antofagasta
J. Bataille,Jelle Bataille,70,75,2200000,"RB,RWB,RM",RM,Belgium,23,180,74,1846,400,Royal Antwerp FC
Robert Navarro,Robert Navarro Muñoz,70,80,3500000,"LW,CAM,CM",CAM,Spain,20,178,69,1753,372,Real Sociedad
F. Vera,Federico Vera,70,76,2400000,"RB,RWB,RW",RB,Argentina,24,178,75,1706,379,Unión de Santa Fe
L. Colwill,Levi Colwill,70,84,3500000,CB,CB,England,19,187,80,1687,365,Brighton & Hove Albion
F. Jara,Franco Jara,70,70,1000000,ST,ST,Argentina,33,180,77,1794,379,FC Dallas
Pedro Díaz,Pedro Díaz Fanjul,70,79,3300000,"CDM,CM",CAM,Spain,24,180,78,1975,414,Real Sporting de Gijón
Brenner,Brenner Souza da Silva,70,78,3600000,ST,ST,Brazil,22,175,70,1704,364,FC Cincinnati
B. Mykhaylichenko,Bogdan Mykhaylichenko,70,73,1900000,LB,LWB,Ukraine,25,179,74,1920,408,Shakhtar Donetsk
F. Calderón,Franco Calderón,70,75,2200000,CB,CB,Argentina,24,187,80,1578,339,Unión de Santa Fe
S. Prediger,Sebastián Prediger,70,70,450000,"CDM,CM",CDM,Argentina,35,184,85,1720,374,Club Atlético Tigre
K. Kamara,Kei Kamara,70,70,550000,ST,ST,Sierra Leone,37,191,86,1790,380,Club de Foot Montréal
B. Baningime,Beni Baningime,70,77,3200000,"CM,CDM",CDM,Congo DR,23,178,70,1795,380,Heart of Midlothian
A. Trusty,Auston Trusty,70,76,2300000,"CB,LB",CB,United States,23,191,85,1683,375,Birmingham City
Filipe Soares,Filipe Miguel Barros Soares,70,77,3200000,CM,CAM,Portugal,23,180,73,1875,396,PAOK
Luildo Simões,Luan Vágner Simões Eustáquio,70,70,1900000,CAM,CF,Brazil,22,177,74,1821,385,Sport Club Corinthians Paulista
A. Albers,Andreas Albers,70,70,1300000,ST,ST,Denmark,32,193,90,1519,338,SSV Jahn Regensburg
J. Chabot,Julian Chabot,70,75,2200000,CB,CB,Germany,24,195,85,1403,300,1. FC Köln
N. Katić,Nikola Katić,70,73,1900000,CB,CB,Croatia,25,194,80,1493,338,FC Zürich
F. Krüger,Florian Krüger,70,78,3600000,"ST,LM",ST,Germany,23,186,81,1682,372,FC Groningen
R. Rodelin,Ronny Rodelin,70,70,1300000,"LM,ST,CAM",ST,France,32,193,93,1864,384,Servette FC
D. Santacruz,Danilo Santacruz,70,71,1800000,"CAM,RM,LM",CAM,Paraguay,27,177,74,1687,365,Club Nacional
Hervías,Pablo Hervías Ruiz,70,70,1600000,"RM,RB",RM,Spain,29,174,71,1903,395,Málaga CF
Milton Menceiros,Milton Boas Menceiros Cunha,70,70,1300000,CB,CB,Brazil,30,182,84,1759,376,Ceará Sporting Club
Arthur Gomes,Arthur Gomes Lourenço,70,75,2400000,"LW,RW",CAM,Brazil,23,173,68,1631,345,Sporting CP
O. Maritu,Oscar Taty Maritu,70,77,3300000,ST,ST,Congo DR,22,182,80,1570,342,Shijiazhuang Ever Bright F.C.
Juan Villar,Juan Villar Vázquez,70,70,775000,"ST,RM",RW,Spain,34,182,72,1885,399,SD Huesca
G. Wikheim,Gustav Wikheim,70,70,1600000,LW,LW,Norway,29,182,65,1771,382,Djurgårdens IF
Álvaro Lemos,Álvaro Lemos Collazo,70,70,1400000,"RB,RM",RB,Spain,29,175,78,2009,423,Unión Deportiva Las Palmas
M. Bola,Marc Bola,70,75,2200000,"LWB,LB",LWB,England,24,185,78,1652,367,Middlesbrough
A. Murgia,Alessandro Murgia,70,73,2100000,"CM,CDM",CM,Italy,25,185,78,1777,368,SPAL
T. Edwards,Tom Edwards,70,77,3000000,"RWB,RB,CB",RWB,England,23,175,76,1796,390,Barnsley
Mollejo,Víctor Mollejo Carpintero,70,81,3600000,"RM,LM",LM,Spain,21,176,63,1782,382,Real Zaragoza
L. Dykes,Lyndon Dykes,70,72,2000000,ST,ST,Scotland,26,188,84,1700,363,Queens Park Rangers
A. Ezzalzouli,Abdessamad Ezzalzouli,70,82,3800000,"LW,RW",LW,Morocco,20,177,73,1581,352,CA Osasuna
D. Kownacki,Dawid Kownacki,70,74,2200000,"ST,RM,LM",ST,Poland,25,185,75,1753,373,Fortuna Düsseldorf
F. Passlack,Felix Passlack,70,74,2300000,"RM,RB,CM",RWB,Germany,24,172,70,1960,410,Borussia Dortmund
D. Nikolaou,Dimitrios Nikolaou,70,76,2300000,CB,CB,Greece,23,188,92,1534,329,Spezia
Jeong Tae Wook,Tae Wook Jeong,70,77,2900000,CB,CB,Korea Republic,25,194,92,1492,325,Daegu FC
Rubén Pardo,Rubén Pardo Gutiérrez,70,70,1600000,"CAM,CM,CDM",CAM,Spain,29,181,69,1884,381,CD Leganés
Y. Magnin,Yohann Magnin,70,73,1900000,"CDM,CM",CDM,France,25,183,71,1739,376,Clermont Foot 63
H. Ekdal,Hjalmar Ekdal,70,78,3300000,CB,CB,Sweden,23,188,76,1546,344,Djurgårdens IF
S. Appelkamp,Shinta Appelkamp,70,80,3600000,"CAM,LM,CM",CAM,Germany,21,175,70,1661,351,Fortuna Düsseldorf
S. Bradley,Sonny Bradley,70,70,1300000,CB,CB,England,30,196,90,1480,328,Luton Town
H. Fertoli,Héctor Fertoli,70,70,1700000,"LM,RM,CAM",LM,Argentina,27,174,63,1812,389,Club Atlético Talleres
O. Berg,Oliver Berg,70,70,1600000,"CF,CM,ST",CF,Norway,28,178,74,1907,410,Kalmar FF
Xavier,António Manuel Pereira Xavier,70,70,1600000,"LW,RW",LW,Portugal,29,176,73,1770,376,Panathinaikos FC
K. Naughton,Kyle Naughton,70,70,750000,"CB,RB",CB,England,33,179,73,1784,378,Swansea City
G. Falcón,Gonzalo Falcón,70,75,1900000,GK,GK,Uruguay,25,190,86,1051,375,LDU Quito
S. Lletget,Sebastian Lletget,70,70,1600000,"CM,CAM,RM",CAM,United States,29,178,69,1902,410,FC Dallas
J. Willis,Joe Willis,70,70,525000,GK,GK,United States,33,196,84,1177,393,Nashville SC
R. Hedges,Ryan Hedges,70,70,1700000,"RW,RM,CAM",RW,Wales,26,185,65,1719,379,Blackburn Rovers
Á. Lang,Ádám Lang,70,70,0,CB,CB,Hungary,29,188,83,1618,344,Free agent
Q. Laçi,Qazim Laçi,70,74,2000000,"CDM,CM",RM,Albania,26,175,67,1974,419,AC Ajaccio
S. Jørgensen,Sebastian Jørgensen,70,76,2600000,RM,LM,Denmark,22,178,68,1624,354,Silkeborg IF
Juanfran,Juan Francisco Moreno Fuertes,70,70,825000,"RB,RWB",RB,Spain,33,180,69,1949,409,Málaga CF
Song Bum Keun,Bum Keun Song,70,78,3100000,GK,GK,Korea Republic,24,194,88,1004,366,Jeonbuk Hyundai Motors
T. Leistner,Toni Leistner,70,70,1100000,CB,CB,Germany,31,190,93,1594,338,Sint-Truidense VV
L. Mühl,Lukas Mühl,70,74,2000000,CB,CB,Germany,25,189,83,1631,360,FK Austria Wien
L. Vido,Luca Vido,70,73,2100000,ST,ST,Italy,25,182,75,1763,367,Palermo
A. Carboni,Andrea Carboni,70,80,3300000,CB,CB,Italy,21,185,80,1564,339,AC Monza
J. Fortelný,Jan Fortelný,70,76,2500000,"CM,CAM",CAM,Czech Republic,23,174,67,1846,392,AC Sparta Praha
A. Traustason,Arnór Ingvi Traustason,70,70,1600000,"LW,CM",LW,Iceland,29,183,71,1922,410,IFK Norrköping
F. Forte,Francesco Forte,70,70,1600000,ST,ST,Italy,29,187,75,1721,358,Benevento
S. Vecchia,Stefano Vecchia,70,70,1700000,"LW,CF",LW,Sweden,27,182,80,1782,382,Rosenborg BK
M. Polster,Matt Polster,70,70,1400000,"CDM,RB",CDM,United States,29,183,77,1716,368,New England Revolution
K. Schindler,Kingsley Schindler,70,70,1600000,"RM,RB",RM,Ghana,28,183,80,1799,392,1. FC Köln
D. Vukovic,Danny Vukovic,70,70,180000,GK,GK,Australia,37,187,95,1177,392,Central Coast Mariners
A. Jahouh,Ahmed Jahouh,70,70,800000,CDM,CDM,Morocco,33,188,82,1813,370,Mumbai City FC
M. Lode,Marius Lode,70,70,1300000,CB,CB,Norway,29,185,77,1715,380,FK Bodø/Glimt
M. Aioani,Marian Aioani,70,78,3100000,GK,GK,Romania,22,186,80,1055,384,FC Farul Constanța
D. Limnios,Dimitris Limnios,70,75,2400000,"LM,RM",CAM,Greece,24,178,71,1765,373,1. FC Köln
A. Palaversa,Ante Palaversa,70,79,3600000,"CM,CDM",CDM,Croatia,22,187,77,1869,399,ESTAC Troyes
K. Théophile-Catherine,Kévin Théophile-Catherine,70,70,1000000,CB,CB,France,32,183,86,1842,397,Dinamo Zagreb
M. Gueye,Makhtar Gueye,70,75,2400000,ST,ST,Senegal,24,195,91,1663,363,Real Zaragoza
J. Dunne,Jimmy Dunne,70,75,2200000,CB,CB,Republic of Ireland,24,188,75,1552,335,Queens Park Rangers
Eltildo Bessa,Elton Matheus Bessa Acuna,70,70,1800000,"ST,CF,LW",CF,Brazil,26,165,62,1762,361,Fortaleza
S. Giordana,Santiago Giordana,70,70,1700000,ST,ST,Argentina,27,179,78,1698,357,Mushuc Runa
S. Wright,Scott Wright,70,73,2200000,"RW,LW,CAM",RM,Scotland,24,175,65,1664,364,Rangers FC
Ryder Matos,Ryder Matos Santos Pinto,70,70,1600000,"RW,ST,CF",RW,Brazil,29,182,70,1765,376,Perugia
B. Mendy,Batista Mendy,70,80,3400000,"CDM,CB,CM",CB,France,22,191,82,1728,381,Angers SCO
Chumi,Juan Brandáriz Movilla,70,78,3300000,"CB,RB",CB,Spain,23,186,78,1568,335,Unión Deportiva Almería
Jesús Imaz,Jesús Imaz Ballesté,70,70,1300000,"ST,CF,CAM",RW,Spain,31,179,70,1789,382,Jagiellonia Białystok
A. Ceesay,Assan Ceesay,70,70,1600000,ST,ST,Gambia,28,189,74,1777,383,Lecce
I. Maatsen,Ian Maatsen,70,82,3700000,"LB,LWB",LB,Netherlands,20,168,57,1841,391,Burnley
Vieirinha,Adelino André Vieira de Freitas,70,70,350000,"LB,RB,CB",CAM,Portugal,36,172,73,2032,413,PAOK
D. Rodríguez,Diego Rodríguez,70,70,525000,GK,GK,Argentina,33,184,80,1283,392,Godoy Cruz
K. Dougall,Kenny Dougall,70,70,1400000,"CDM,CM",CDM,Australia,29,182,79,1826,391,Blackpool
R. Ogawa,Ryoya Ogawa,70,72,1800000,"LB,RB",LWB,Japan,25,183,78,1839,401,Vitória de Guimarães
S. Gallagher,Sam Gallagher,70,71,1900000,"ST,RW",ST,England,26,193,75,1802,384,Blackburn Rovers
D. Kinsombi,David Kinsombi,70,71,1900000,"CM,CDM",CM,Germany,26,183,74,1882,407,SV Sandhausen
R. Improta,Riccardo Improta,70,70,1600000,"LW,LM,CM",LW,Italy,28,179,73,1813,395,Benevento
Rodrigo Muniz,Rodrigo Muniz Carvalho,70,81,3600000,ST,ST,Brazil,21,185,79,1741,370,Middlesbrough
J. Sala,Jacopo Sala,70,70,1300000,"CDM,RB",CDM,Italy,30,181,75,1893,395,Spezia
Iván Martín,Iván Martín Núñez,70,79,3500000,"RM,CM,LM",CAM,Spain,23,178,70,1706,365,Girona FC
A. Besedin,Artem Besedin,70,73,2100000,ST,ST,Ukraine,26,190,84,1636,359,Dynamo Kyiv
M. Branderhorst,Mattijs Branderhorst,70,72,1400000,GK,GK,Netherlands,28,192,87,1121,386,N.E.C. Nijmegen
E. Laird,Ethan Laird,70,82,3700000,"RB,RWB",RM,England,20,177,66,1825,407,Queens Park Rangers
T. Campbell,Tyrese Campbell,70,76,2600000,"ST,RM,RW",ST,England,22,183,75,1758,381,Stoke City
R. Camacho,Rudy Camacho,70,70,1100000,CB,CB,France,31,185,79,1704,356,Club de Foot Montréal
F. Altamirano,Facundo Altamirano,70,73,1600000,GK,GK,Argentina,26,186,78,1192,384,Patronato
O. Brynhildsen,Ola Brynhildsen,70,77,3200000,"LM,ST",RM,Norway,23,175,70,1833,397,Molde FK
J. Vanlerberghe,Jordi Vanlerberghe,70,73,1800000,"CB,CDM,CM",CDM,Belgium,26,189,82,1889,399,KV Mechelen
C. Pickel,Charles Pickel,70,76,2200000,"CDM,CM",CDM,Switzerland,25,184,76,1852,399,US Cremonese
D. Arboleda,Danilo Arboleda,70,73,1800000,CB,CB,Colombia,27,190,83,1360,298,Al Ain FC
David Ferreiro,David Ferreiro Quiroga,70,70,750000,"LM,RM,CM",RW,Spain,34,170,63,1782,370,FC Cartagena
H. Vetlesen,Hugo Vetlesen,70,77,3200000,"CAM,CM",CAM,Norway,22,174,72,1918,405,FK Bodø/Glimt
Arthur Silbeira,Douglas Arthur Silbeira Martins,70,70,1800000,ST,ST,Brazil,26,178,78,1673,351,Santos
F. Dabo,Fankaty Dabo,70,73,1900000,"RWB,RB,CB",RWB,England,26,181,76,1821,398,Coventry City
P. Jagielka,Phil Jagielka,70,70,275000,CB,CB,England,39,180,87,1698,319,Stoke City
O. Marciano,Ofir Marciano,70,70,800000,GK,GK,Israel,32,193,78,1176,382,Feyenoord
L. Shankland,Lawrence Shankland,70,71,1900000,ST,ST,Scotland,26,185,80,1752,371,Heart of Midlothian
D. Churlinov,Darko Churlinov,70,79,3600000,"RM,ST,RWB",CAM,North Macedonia,21,180,73,1834,394,Burnley
G. Isaksen,Gustav Isaksen,70,78,3600000,RW,LM,Denmark,21,178,65,1711,374,FC Midtjylland
Roberto López,Roberto López Alcaide,70,81,3600000,"CM,CAM,RM",CAM,Spain,22,180,70,1734,366,CD Mirandés
J. Fjóluson,Jón Guðni Fjóluson,70,70,750000,CB,CB,Iceland,33,193,85,1656,343,Hammarby IF
C. Colmán,Cristian Colmán,70,70,1600000,"ST,CF",ST,Paraguay,28,185,85,1747,372,Barracas Central
M. Rigione,Michele Rigione,70,70,1100000,CB,CB,Italy,31,185,78,1631,345,Cosenza
F. Klos,Fabian Klos,70,70,775000,ST,ST,Germany,34,194,93,1725,366,DSC Arminia Bielefeld
Juan Cala,Juan Torres Ruiz,70,70,1000000,CB,CB,Spain,32,185,78,1768,369,Cádiz CF
F. Nürnberger,Fabian Nürnberger,70,76,2500000,"CM,CDM,LM",CAM,Germany,22,178,72,1869,406,1. FC Nürnberg
G. Biancone,Giulian Biancone,70,78,3300000,"CB,RWB,LWB",CB,France,22,187,79,1783,385,Nottingham Forest
Flavio,Flavio Medeiros da Silva,70,71,1700000,"CDM,CM,CAM",CDM,Brazil,26,177,73,1813,388,Al Taawoun
V. Henry,Valentin Henry,70,70,1400000,RB,RB,France,28,178,73,1883,409,FC Sochaux-Montbéliard
G. Paletta,Gabriel Paletta,70,70,275000,CB,CB,Italy,36,190,80,1430,292,AC Monza
Josep Señé,Josep Señé Escudero,70,70,1500000,CM,CAM,Spain,30,184,77,1842,388,CD Lugo
A. Ounahi,Azzedine Ounahi,70,81,3600000,CM,CM,Morocco,22,182,62,1810,383,Angers SCO
F. Uremović,Filip Uremović,70,74,2000000,CB,CB,Croatia,25,184,78,1536,328,Hertha BSC
M. Gabbia,Matteo Gabbia,70,79,3300000,CB,CB,Italy,22,185,78,1569,333,AC Milan
C. Puertas,Cameron Puertas,70,75,2400000,"CM,CAM",CM,Switzerland,23,178,77,1944,425,Royale Union Saint-Gilloise
Pelé,Judilson Mamadu Tuncará Gomes,70,70,1300000,"CDM,CM",CDM,Guinea Bissau,30,182,75,1902,402,Futebol Clube de Famalicão
J. Jeanvier,Julian Jeanvier,70,70,1300000,CB,CB,Guinea,29,185,84,1613,343,AJ Auxerre
F. Viáfara,Fabián Viáfara,70,70,1400000,RB,RB,Colombia,30,167,64,1790,378,Junior FC
G. Altare,Giorgio Altare,70,75,2200000,CB,CB,Italy,23,190,84,1535,343,Cagliari
Aarón,Aarón Escandell,70,75,1800000,GK,GK,Spain,26,185,71,1218,380,FC Cartagena
Wanderson,Wanderson Carvalho Oliveira,70,70,1000000,"RM,CAM,LM",RM,Brazil,33,172,60,1862,406,Pohang Steelers
João Carvalho,João António Antunes Carvalho,70,74,2200000,CAM,CAM,Portugal,25,172,67,1764,364,Estoril Praia
F. Ioannidis,Fotis Ioannidis,70,77,3300000,ST,ST,Greece,22,186,80,1656,356,Panathinaikos FC
João Nunes,João Aniceto Grandela Nunes,70,75,2100000,"CB,RB",CB,Portugal,26,186,78,1678,370,Casa Pia
A. Deneumostier,Alec Deneumostier,70,79,3300000,CB,CB,Peru,23,184,76,1493,317,FBC Melgar
J. Sánchez Miño,Juan Sánchez Miño,70,70,1100000,"LB,LM,CM",LB,Argentina,32,177,76,1991,418,Club Atlético Colón
M. Diemers,Mark Diemers,70,70,1600000,"CM,CAM,LM",CM,Netherlands,28,175,68,1979,407,FC Emmen
Sergi Palencia,Sergi Palencia Hurtado,70,72,1800000,"RB,RWB,RM",RWB,Spain,26,172,68,1826,400,AS Saint-Étienne
D. Črnigoj,Domen Črnigoj,70,72,2000000,CM,CAM,Slovenia,26,185,70,1817,400,Venezia FC
C. Antwi-Adjei,Christopher Antwi-Adjei,70,70,1600000,"LW,RW",LW,Ghana,28,174,72,1614,354,VfL Bochum 1848
F. Downes,Flynn Downes,70,76,2300000,"CDM,CM",CDM,England,23,177,70,1832,392,West Ham United
Min Sang Gi,Sang Gi Min,70,70,1300000,CB,CB,Korea Republic,30,184,77,1717,371,Suwon Samsung Bluewings
J. Laurent,Josh Laurent,70,73,1800000,"CDM,CM,CAM",CB,England,27,188,76,1919,417,Stoke City
J. Carbonero,Johan Carbonero,70,78,3600000,"LW,RW",RM,Colombia,22,170,75,1691,375,Racing Club
Luismi,Luis Miguel Sánchez Benítez,70,70,1300000,"CDM,CM",CDM,Spain,30,180,73,1683,363,Real Oviedo
A. Cabeza,Alejandro Cabeza,70,73,2100000,ST,ST,Ecuador,25,185,79,1730,371,CS Emelec
J. Giraudon,Jimmy Giraudon,70,70,1300000,CB,CB,France,30,184,66,1627,348,AS Saint-Étienne
Kike Pérez,Enrique Pérez Muñoz,70,75,2300000,"CM,CAM,CDM",CAM,Spain,25,184,74,1801,375,Real Valladolid CF
D. Drexler,Dominick Drexler,70,70,1300000,"CAM,CM,RM",CAM,Germany,32,182,71,1801,383,FC Schalke 04
C. Zimmermann,Christoph Zimmermann,70,70,1300000,CB,CB,Germany,29,194,92,1407,300,SV Darmstadt 98
C. Medina,Cristian Medina,70,80,3500000,CM,CM,Argentina,20,178,70,1849,400,Boca Juniors
Ademilson,Ademilson Braga Bispo Júnior,70,70,1600000,"ST,LM",RW,Brazil,28,176,74,1837,396,Wuhan Three Towns
Lee Chung Yong,Chung Yong Lee,70,70,1000000,"RM,LM,CAM",RM,Korea Republic,33,180,70,1821,383,Ulsan Hyundai FC
C. Eiting,Carel Eiting,70,76,2500000,"CM,CDM",CM,Netherlands,24,178,72,1789,370,FC Volendam
Á. Cardozo Lucena,Ángel Cardozo Lucena,70,71,1800000,CM,CM,Paraguay,27,168,70,1869,389,Club Cerro Porteño
M. Cho,Mohamed-Ali Cho,70,85,3700000,ST,ST,France,18,182,73,1640,367,Real Sociedad
Fontàs,Andreu Fontàs Prat,70,70,1000000,CB,CDM,Spain,32,185,89,1712,351,Sporting Kansas City
R. Arias,Ramón Arias,70,70,1300000,CB,CB,Uruguay,29,180,84,1493,317,GZT Giresunspor
M. Roberts,Marc Roberts,70,70,1100000,CB,CB,England,31,193,81,1438,305,Birmingham City
S. Hlanti,Sifiso Hlanti,70,70,1100000,"LB,LM,CB",LB,South Africa,32,182,78,1678,368,Kaizer Chiefs
R. Dugalić,Rade Dugalić,70,71,1500000,CB,CB,Serbia,29,194,91,1618,336,Meizhou Hakka
H. Van Der Bruggen,Hannes Van Der Bruggen,70,70,1600000,"CM,CDM",CM,Belgium,29,180,74,1904,383,KSV Cercle Brugge
N. Loyola,Nilson Loyola,70,71,1700000,"LB,LM",LB,Peru,27,179,64,1683,363,Club Sporting Cristal
M. Falcón,Maximiliano Falcón,70,74,2000000,CB,CB,Uruguay,25,179,80,1553,340,Colo-Colo
F. Afena-Gyan,Felix Afena-Gyan,70,80,3500000,ST,ST,Ghana,19,175,75,1772,386,US Cremonese
Vigaray,Carlos Martín Vigaray,70,70,1500000,RB,RB,Spain,27,182,80,1787,391,Real Zaragoza
R. Amalfitano,Romain Amalfitano,70,70,1300000,"CAM,CDM",CM,France,32,173,68,1817,382,Western Sydney Wanderers
C. Aquino,Claudio Aquino,70,70,1500000,"LM,RM,CAM",LM,Argentina,30,172,75,1834,384,Club Cerro Porteño
A. Mandrea,Anthony Mandrea,70,75,1900000,GK,GK,Algeria,25,186,78,1108,387,Stade Malherbe Caen
M. Prévot,Maxence Prévot,70,75,1900000,GK,GK,France,25,187,81,1013,381,FC Sochaux-Montbéliard
J. de Guzmán,Jonathan de Guzmán,70,70,725000,"CM,CDM,CAM",CAM,Netherlands,34,173,70,1948,399,Sparta Rotterdam
M. Ramírez,Moisés Ramírez,70,81,3100000,GK,GK,Ecuador,21,183,73,1025,373,Independiente del Valle
M. Debuchy,Mathieu Debuchy,70,70,275000,"CB,RB",CB,France,36,176,76,1947,402,Valenciennes FC
T. Lockyer,Tom Lockyer,70,70,1500000,CB,CB,Wales,27,185,72,1657,363,Luton Town
P. Akouokou,Paul Akouokou,70,78,3300000,"CDM,CM",CDM,Côte d'Ivoire,24,182,68,1768,376,Real Betis Balompié
S. Nealis,Sean Nealis,70,74,2000000,CB,CB,United States,25,194,79,1519,341,New York Red Bulls
Bryan Corozo,Washington Corozo,70,74,2300000,LM,ST,Ecuador,23,180,66,1754,391,Austin FC
S. Ernst,Sebastian Ernst,70,71,1800000,"CAM,CM",CAM,Germany,27,179,68,1861,392,Hannover 96
F. Russo,Franco Russo,70,73,1800000,CB,CB,Argentina,27,185,78,1541,337,RCD Mallorca
R. Dugimont,Rémy Dugimont,70,70,525000,"LM,CAM,ST",ST,France,36,182,75,1881,389,AJ Auxerre
A. Rinomhota,Andy Rinomhota,70,74,2000000,"CDM,CM",CB,England,25,175,72,1890,412,Cardiff City
C. Ferreira,Cristian Ferreira,70,76,2500000,"CM,CAM",CAM,Argentina,22,175,69,1982,413,Newell's Old Boys
A. Yusuf,Alhassan Yusuf,70,77,3200000,"CM,CDM",CAM,Nigeria,21,173,66,1936,416,Royal Antwerp FC
K. Bistrović,Kristijan Bistrović,70,76,2300000,"CDM,CM",CM,Croatia,24,183,75,1885,403,Lecce
J. Pineda,Jean Carlos Pineda,70,75,2400000,"CM,RM,LM",CAM,Colombia,24,179,70,1834,403,Independiente Medellín
W. Pacheco,Walmer Pacheco,70,71,1700000,RB,RB,Colombia,27,172,63,1737,379,Junior FC
K. Rüegg,Kevin Rüegg,70,76,2400000,"RWB,RB,RM",RM,Switzerland,23,173,80,1874,413,BSC Young Boys
Ivanildo Fernandes,Ivanildo Jorge Mendes Fernandes,70,75,2100000,CB,CB,Portugal,26,193,83,1479,331,FC Vizela
M. Samoise,Matisse Samoise,70,79,3500000,RM,RM,Belgium,20,180,70,1864,404,KAA Gent
Copete,José Manuel Arias Copete,70,80,3300000,CB,CB,Spain,22,192,73,1550,339,RCD Mallorca
B. Locko,Bradley Locko,70,79,3300000,"LB,LWB,LM",LB,France,20,180,65,1769,387,Stade de Reims
Nouhou,Nouhou Tolo,70,71,1700000,"LB,CB",LB,Cameroon,25,178,79,1733,390,Seattle Sounders FC
E. Ćivić,Eldar Ćivić,70,72,1800000,LB,LWB,Bosnia and Herzegovina,26,182,76,1861,403,Ferencvárosi TC
K. Papadopoulos,Kyriakos Papadopoulos,70,70,1300000,CB,CB,Greece,30,185,87,1630,332,FC U Craiova 1948
J. Niezgoda,Jarosław Niezgoda,70,70,1700000,ST,ST,Poland,27,185,77,1666,368,Portland Timbers
M. Jeahze,Mohanad Jeahze,70,74,2100000,LB,LWB,Iraq,25,179,65,1864,398,Hammarby IF
